Year,Country,log_GDP,Misallignment,Residual
1973,9,8.13697,-0.006356,-0.4128271
1974,9,8.16746,-0.31404,-0.3460215
1975,9,8.21317,-0.548491,-0.2726352
1976,9,8.28958,-0.822691,-0.1638569
1977,9,8.30041,-1.01146,-0.130746
1978,9,8.29284,-0.879722,-0.153866
1979,9,8.26397,-0.765486,-0.1962187
1980,9,8.2163,0.203429,-0.3582627
1981,9,8.24052,0.127171,-0.3250413
1982,9,8.25219,0.029705,-0.3018658
1983,9,8.27761,-0.117629,-0.2590536
1984,9,8.32019,-0.015969,-0.2284735
1985,9,8.34036,-0.068626,-0.2020883
1986,9,8.38782,-0.20627,-0.1383795
1987,9,8.45907,-0.403294,-0.0438718
1988,9,8.46347,-0.19777,-0.0637327
1989,9,8.44849,-0.237395,-0.0740355
1990,9,8.51977,-0.473717,0.0251407
1991,9,8.51014,-0.515114,0.0203982
1992,9,8.54299,-0.519146,0.0537234
1993,9,8.60078,-0.76179,0.1401561
1994,9,8.53721,-0.176505,0.0074971
1995,9,8.59731,-0.183036,0.0683677
1996,9,8.65275,-0.106567,0.1147807
1997,9,8.71007,0.058293,0.1526394
1998,9,8.71726,0.221105,0.140611
1999,9,8.66765,1.04936,-0.006771
2000,9,8.71815,1.00241,0.0492715
2001,9,8.6447,1.35468,-0.0657625
2002,9,8.68992,1.26016,-0.009384
2003,9,8.72699,0.986743,0.0599607
2004,9,8.80276,0.617335,0.1793378
2005,9,8.87027,0.292733,0.2851652
2006,9,8.92457,0.162069,0.3548897
2007,9,8.95847,-0.046472,0.4134072
2008,9,8.95319,-0.115993,0.4163333
2009,9,8.89077,-0.040473,0.3449987
2010,9,8.96377,-0.119988,0.427385
2011,9,9.03565,-0.03589,0.489338
2012,9,9.04448,-0.000851,0.4940318
2013,9,9.07333,0.036385,0.5184858
2014,9,9.08984,0.172435,0.5189359
1970,10,8.44589,-0.306322,-0.0850487
1971,10,8.48466,1.7965,-0.2945136
1972,10,8.48386,3.98174,-0.5532667
1973,10,8.49437,5.94996,-0.7750951
1974,10,8.53128,7.35831,-0.9044362
1975,10,8.51465,-9.19373,1.032826
1976,10,8.47865,-5.56719,0.5687286
1977,10,8.53065,-3.51643,0.3786422
1978,10,8.4698,-1.78175,0.1130226
1979,10,8.55233,-0.750969,0.0738746
1980,10,8.5779,-0.723087,0.0961569
1981,10,8.50388,-0.551856,0.0019198
1982,10,8.43737,-0.476277,-0.0735084
1983,10,8.45963,-0.769818,-0.0166043
1984,10,8.4658,0.315402,-0.138535
1985,10,8.37138,1.62609,-0.3876703
1986,10,8.4319,-0.572654,-0.0676075
1987,10,8.44549,-2.48969,0.1722817
1988,10,8.40473,-3.11836,0.2057299
1989,10,8.31219,1.51575,-0.4338374
1990,10,8.27356,4.19454,-0.7886831
1991,10,8.37877,3.97023,-0.6569959
1992,10,8.47777,2.45915,-0.3796204
1993,10,8.52171,0.832105,-0.1436163
1994,10,8.56541,-0.680204,0.0786016
1995,10,8.52399,-1.61083,0.1470347
1996,10,8.56571,-1.88053,0.2205976
1997,10,8.63207,-1.84706,0.2830069
1998,10,8.65854,-1.83272,0.3077831
1999,10,8.61295,-1.40741,0.2119827
2000,10,8.59392,-1.27861,0.1777482
2001,10,8.53771,-1.21528,0.1140698
2002,10,8.41127,0.152701,-0.1738534
2003,10,8.48493,0.176087,-0.1029569
2004,10,8.5605,0.237834,-0.0346825
2005,10,8.63779,0.400935,0.0233586
2006,10,8.70797,0.561548,0.0745818
2007,10,8.77427,0.644439,0.1310993
2008,10,8.79431,0.658394,0.1494838
2009,10,8.78454,0.559734,0.1513627
2010,10,8.86451,0.686337,0.2163853
2011,10,8.9346,0.739142,0.2802423
2012,10,8.93208,0.683996,0.284239
2013,10,8.95006,0.832402,0.2846953
2014,10,8.94425,1.23745,0.2310768
1970,11,5.61269,0.060153,-0.5371369
1971,11,5.60638,-0.012684,-0.534844
1972,11,5.57781,-0.01693,-0.562912
1973,11,5.58697,0.079139,-0.5651005
1974,11,5.57544,0.239852,-0.5955966
1975,11,5.63979,0.208045,-0.5274889
1976,11,5.63327,0.066593,-0.5173196
1977,11,5.68042,0.025593,-0.4653244
1978,11,5.71315,-0.077859,-0.4203855
1979,11,5.63645,-0.125613,-0.4914467
1980,11,5.67861,-0.197161,-0.4408413
1981,11,5.71379,-0.147394,-0.411536
1982,11,5.72476,-0.147003,-0.400612
1983,11,5.77201,-0.116913,-0.3569142
1984,11,5.78663,-0.098742,-0.3444389
1985,11,5.81531,-0.143056,-0.310528
1986,11,5.83982,-0.158848,-0.2841539
1987,11,5.8569,-0.186689,-0.2637871
1988,11,5.92738,-0.183412,-0.193694
1989,11,5.96407,-0.173386,-0.1581879
1990,11,5.99719,-0.193365,-0.1227093
1991,11,5.98734,0.007277,-0.1562441
1992,11,6.02072,0.080573,-0.1315163
1993,11,6.04745,0.127671,-0.1103459
1994,11,6.0925,0.059237,-0.0572175
1995,11,6.14631,0.064639,-0.0040455
1996,11,6.20011,0.099264,0.0456673
1997,11,6.22107,0.055853,0.0717516
1998,11,6.26262,0.189004,0.0975839
1999,11,6.32927,0.293674,0.151878
2000,11,6.34924,0.2657,0.1751502
2001,11,6.37903,0.246377,0.2072216
2002,11,6.39944,0.236672,0.2287768
2003,11,6.45857,0.15941,0.2970274
2004,11,6.51866,0.081685,0.3662926
2005,11,6.59167,-0.005645,0.4496114
2006,11,6.66487,-0.025002,0.5250961
2007,11,6.74334,-0.159851,0.6194845
2008,11,6.76688,-0.14521,0.6412963
2009,11,6.83408,-0.058942,0.698313
2010,11,6.91801,-0.127434,0.7903281
2011,11,6.969,-0.137513,0.8425075
2012,11,7.00571,-0.043688,0.8681422
2013,11,7.05991,0.027822,0.9139005
2014,11,7.11798,0.008106,0.9742981
1970,12,7.23222,0.457328,-0.9661726
1971,12,7.2634,0.423139,-0.9309545
1972,12,7.32852,0.370392,-0.8596103
1973,12,7.415,0.295781,-0.7643183
1974,12,7.47092,0.283769,-0.7069826
1975,12,7.45541,0.230379,-0.7161869
1976,12,7.54173,0.225251,-0.6292675
1977,12,7.59352,0.174968,-0.5715439
1978,12,7.63491,0.139793,-0.5259931
1979,12,7.70086,0.023724,-0.4463466
1980,12,7.74857,-0.064718,-0.3881965
1981,12,7.79096,-0.050437,-0.3474925
1982,12,7.82336,-0.106216,-0.3085079
1983,12,7.85796,-0.15714,-0.2678963
1984,12,7.90586,-0.211152,-0.2136208
1985,12,7.86685,-0.255803,-0.24736
1986,12,7.84971,-0.191562,-0.2720832
1987,12,7.87293,-0.212359,-0.2464081
1988,12,7.93826,-0.138511,-0.1897956
1989,12,7.99604,-0.095088,-0.1371416
